Kanal 1 Theta;Kanal 2 Theta;Kanal 1 Alpha;Kanal 2 Alpha;Kanal 1 Lo-Beta;Kanal 2 Lo-Beta;Kanal 1 Beta;Kanal 2 Beta;Ratio Theta Kanal 1 zu 2;Ratio Alpha Kanal 1 zu 2;Ratio Lo-Beta Kanal 1 zu 2;Ratio Beta Kanal 1 zu 2
0;0;0;0;0;0;0;0;16777216;16777216;16777216;16777216
28,359375;27,890625;15,367188;14,898438;8,5;8,328125;6,78125;6,65625;1,015625;1,023438;1,015625;1,015625
5,46875;0,890625;4,320313;0,242188;1,101563;0,085938;0,5625;0,0625;1,179688;1,320313;1,15625;1,09375
0,171875;22;0,046875;5,382813;0,007813;1,585938;0;0,921875;0,679688;0,976563;0,96875;0,96875
0;2,273438;0;0,15625;0;0,023438;0;0,023438;0,640625;0,96875;0,96875;0,960938
3,328125;0,085938;3,375;0,015625;0,859375;0,023438;1,140625;0,015625;0,703125;1,132813;1,046875;1,109375
10,304688;0,046875;8,632813;0,007813;4,4375;0,023438;7,804688;0,039063;0,890625;1,546875;1,484375;2,109375
6,28125;0,046875;5,101563;0,03125;1,75;0,015625;1,429688;0,046875;1,007813;1,789063;1,664063;2,296875
5,585938;2,351563;3,90625;0,609375;2,578125;0,40625;1,5;0,15625;1,0625;1,929688;1,851563;2,460938
3,476563;11,015625;5,015625;0,945313;1,945313;0,695313;0,960938;0,234375;0,945313;2,070313;1,921875;2,492188
9,117188;11,3125;4,523438;2,421875;1,671875;0,921875;2,265625;0,9375;0,921875;2,054688;1,921875;2,5
5,367188;6,835938;8,101563;1,640625;2,359375;0,34375;2,367188;0,289063;0,90625;2,234375;2,054688;2,6875
3,546875;10,960938;3,617188;0,9375;1,664063;0,476563;1,929688;0,25;0,84375;2,289063;2,117188;2,8125
3,546875;10,914063;4,15625;0,820313;1,453125;0,414063;1,390625;0,257813;0,796875;2,375;2,164063;2,882813
3,554688;7,421875;2,914063;0,632813;1,609375;0,40625;2,523438;0,25;0,773438;2,421875;2,210938;3,070313
4,304688;4,671875;3,921875;0,804688;1,726563;0,375;2,476563;0,398438;0,78125;2,492188;2,265625;3,179688
4,140625;8,148438;2,914063;0,828125;1,953125;0,351563;1,414063;0,226563;0,765625;2,515625;2,359375;3,257813
5,625;12,34375;3,164063;1,007813;1,296875;0,40625;1,078125;0,226563;0,742188;2,539063;2,390625;3,28125
3,273438;7,25;2,117188;1,632813;1,679688;0,414063;1,421875;0,203125;0,71875;2,46875;2,4375;3,34375
4,0625;13,289063;3,710938;1,195313;2,5625;0,5625;1,265625;0,21875;0,6875;2,492188;2,515625;3,40625
4,070313;5,976563;3,039063;0,773438;2,140625;0,453125;1,757813;0,21875;0,6875;2,523438;2,5625;3,492188
3,914063;12,890625;3,90625;0,84375;2,46875;0,84375;1,960938;0,390625;0,65625;2,585938;2,59375;3,523438
7,71875;21,046875;2,929688;2,929688;2,953125;1,195313;2,320313;0,796875;0,625;2,460938;2,59375;3,5
4,0625;12,757813;4,671875;1,132813;2,835938;0,515625;2,117188;0,40625;0,609375;2,507813;2,65625;3,5625
5,726563;13,304688;4,539063;4,101563;2,0625;1,023438;1,695313;0,429688;0,59375;2,367188;2,632813;3,539063
7,679688;7,609375;6,648438;1,65625;2,945313;0,617188;2,117188;0,257813;0,609375;2,4375;2,695313;3,65625
7,460938;11,828125;4,335938;3,078125;4,125;0,414063;3,070313;0,265625;0,609375;2,367188;2,835938;3,78125
5,773438;9,34375;3,484375;2,570313;3,132813;0,695313;2,453125;0,335938;0,609375;2,328125;2,890625;3,867188
4,492188;29,320313;3,53125;7,40625;2,945313;1,3125;3,1875;0,507813;0,5625;2,09375;2,859375;3,9375
4,164063;17,726563;4,679688;6,53125;2,570313;1,695313;2,382813;1,039063;0,539063;1,929688;2,765625;3,835938
9,390625;48,21875;5,226563;9,929688;2,203125;4,53125;2,703125;2,296875;0,492188;1,757813;2,421875;3,515625
3,164063;33,804688;2,109375;7,859375;2,570313;1,71875;2,0625;1,34375;0,460938;1,617188;2,375;3,382813
9,953125;13,265625;2,90625;5,851563;1,820313;1,421875;1,929688;0,757813;0,46875;1,546875;2,320313;3,328125
5,265625;16,21875;5,554688;2,8125;2,046875;0,953125;2,773438;0,421875;0,460938;1,554688;2,3125;3,40625
5,28125;17,328125;3,320313;5,445313;2,4375;1,726563;3,070313;0,875;0,453125;1,507813;2,273438;3,40625
10,1875;20,085938;6,992188;3,171875;17,640625;0,671875;19,085938;0,414063;0,453125;1,523438;2,726563;4,195313
11,71875;25,875;11,632813;10,648438;13,9375;2,09375;12,03125;1,40625;0,453125;1,476563;2,9375;4,46875
4,984375;27,53125;3,96875;6,460938;3,203125;1,445313;3,414063;0,867188;0,4375;1,429688;2,898438;4,4375
2,398438;11,789063;2,75;3,148438;1,890625;0,59375;1,890625;0,492188;0,429688;1,414063;2,890625;4,453125
5,101563;8,359375;4,53125;1,460938;2,203125;0,601563;3,234375;0,554688;0,4375;1,4375;2,921875;4,46875
5,890625;17,84375;5,53125;5,429688;3,078125;1,632813;2,453125;0,84375;0,429688;1,414063;2,875;4,398438
7,96875;15,007813;8,53125;3,25;7,0625;1,265625;6,5625;0,546875;0,429688;1,453125;2,953125;4,601563
6,71875;19,757813;5,039063;4,929688;2,265625;1,398438;2,148438;1,132813;0,429688;1,4375;2,914063;4,453125
7,445313;10,90625;8,5;3,1875;3,101563;1,34375;3,15625;0,578125;0,4375;1,460938;2,890625;4,523438
5,28125;28,4375;3,453125;7,320313;3,8125;2,289063;2,875;1,445313;0,421875;1,40625;2,835938;4,367188
5,890625;57,039063;6,328125;23,03125;4,382813;5,03125;3,234375;2,132813;0,398438;1,257813;2,65625;4,179688
3,890625;39,203125;3,742188;10,5;2,507813;2,992188;2,265625;2,203125;0,382813;1,203125;2,554688;3,984375
8,101563;29,554688;6,421875;4,960938;2,617188;1,546875;3,421875;0,78125;0,375;1,203125;2,515625;4
5,28125;23,640625;7,382813;7,59375;5,164063;2,585938;2,234375;1,304688;0,367188;1,195313;2,507813;3,890625
6,125;57,304688;5,445313;10,898438;3,609375;4,835938;3;2,679688;0,351563;1,15625;2,382813;3,703125
6,234375;44,429688;4,203125;11,234375;2,070313;3,640625;2,679688;1,273438;0,34375;1,117188;2,28125;3,65625
8,289063;27,367188;4,1875;5,335938;2,53125;1,71875;2,320313;1,195313;0,335938;1,109375;2,265625;3,609375
5,234375;24,085938;3,3125;10,585938;4,625;2,820313;2,460938;1,8125;0,335938;1,070313;2,242188;3,53125
10,335938;23,992188;6,96875;8,625;3,320313;2,851563;3,390625;1,1875;0,335938;1,0625;2,195313;3,476563
4,5;38,234375;4,921875;10,03125;3,03125;3,039063;2,359375;1,734375;0,328125;1,039063;2,148438;3,40625
16,5;69,390625;4,070313;9,992188;4,289063;4,9375;4,96875;1,835938;0,320313;1,015625;2,070313;3,382813
7,960938;78,585938;3,84375;12,851563;4,789063;5,460938;2,546875;3,375;0,3125;0,984375;2;3,226563
5,085938;37,296875;5,054688;7,140625;2,882813;2,835938;3,234375;1,648438;0,304688;0,976563;1,96875;3,179688
6,859375;31,835938;6,929688;8,640625;4,820313;2,53125;3,453125;1,78125;0,304688;0,96875;1,96875;3,132813
12,382813;37,039063;12,085938;7,617188;13,304688;3,148438;8,960938;2,132813;0,304688;0,984375;2,039063;3,1875
5,960938;29,515625;4,828125;8,054688;5,335938;2,335938;4,90625;1,390625;0,28125;0,976563;2,148438;3,484375
4,539063;36,921875;3,984375;7,632813;3,953125;2,898438;3,046875;1,515625;0,273438;0,945313;2,109375;3,445313
6,953125;19,820313;5,609375;6,734375;2,101563;1,554688;2,679688;0,90625;0,28125;0,960938;2,140625;3,492188
9,789063;28,46875;6,21875;6,726563;2,398438;2,859375;3,054688;1,460938;0,28125;0,960938;2,101563;3,460938
5,570313;20,53125;5,078125;6,164063;2,4375;1,46875;1,945313;1,101563;0,28125;0,953125;2,085938;3,390625
8,984375;41,390625;6,4375;5,929688;2,359375;1,898438;3,75;1,453125;0,273438;0,921875;2,03125;3,25
6,6875;37,8125;8,015625;9,5625;2,375;2,6875;2,765625;2,109375;0,265625;0,90625;1,976563;3,164063
4,34375;31,632813;4,664063;8,023438;4,945313;2,335938;4,570313;1,054688;0,257813;0,890625;1,96875;3,164063
14,867188;47,78125;6,914063;8,46875;3,921875;3,0625;5,765625;1,617188;0,257813;0,875;1,945313;3,179688
9,921875;72,828125;7,054688;19,601563;3,984375;4,953125;3,679688;3,335938;0,25;0,835938;1,890625;3,0625
6,382813;43,273438;2,71875;8,796875;3,875;3,625;2,570313;1,851563;0,242188;0,804688;1,859375;3
5,015625;24,445313;2,679688;6,421875;4;1,84375;2,734375;1,140625;0,242188;0,789063;1,851563;2,96875
5,226563;61,484375;5,179688;13,914063;2,617188;4,726563;4,148438;3,0625;0,234375;0,773438;1,796875;2,898438
5,898438;38,15625;5,96875;8,8125;2,164063;2,953125;2,328125;2,0625;0,234375;0,757813;1,765625;2,820313
6,617188;24,84375;5,710938;8,914063;3,953125;1,71875;2,242188;1,195313;0,226563;0,75;1,765625;2,78125
10,859375;8,945313;11,710938;1,96875;17,265625;0,757813;15,859375;0,460938;0,234375;0,765625;1,875;2,96875
6,945313;60,296875;7,367188;13,828125;11,179688;4,789063;5,390625;2,875;0,226563;0,757813;1,890625;2,921875
3,828125;30,679688;4,0625;8,390625;3,796875;2,507813;2,742188;1,164063;0,226563;0,75;1,882813;2,90625
2,875;59,992188;2,84375;11,007813;3,320313;5,625;1,195313;2,226563;0,21875;0,734375;1,820313;2,835938
5,242188;62,71875;5,960938;7,984375;2,664063;3,007813;2,140625;2,375;0,210938;0,726563;1,796875;2,75
4,539063;26,664063;6,898438;5,960938;3,1875;1,867188;4,179688;1,101563;0,210938;0,726563;1,789063;2,765625
4,398438;15,304688;4,84375;5;3,078125;1,320313;4,53125;1;0,210938;0,726563;1,78125;2,78125
4,171875;1,539063;3,609375;0,296875;3,515625;0,132813;2,453125;0,03125;0,210938;0,726563;1,789063;2,796875
6,859375;0,046875;5,351563;0;2,914063;0;4,445313;0;0,210938;0,734375;1,8125;2,84375
4,476563;0,171875;5,632813;0,226563;2,625;0,328125;2;0,085938;0,210938;0,734375;1,8125;2,84375
6,078125;0,671875;6,796875;0,851563;2,453125;0,851563;1,9375;0,265625;0,210938;0,742188;1,796875;2,835938
4,382813;0,828125;5,710938;0,742188;2,21875;0,6875;1,328125;0,34375;0,210938;0,75;1,789063;2,820313
8,359375;0,851563;3,289063;0,765625;2,554688;0,703125;2,335938;0,3125;0,21875;0,757813;1,789063;2,804688
5,0625;0,664063;8,046875;0,765625;2,484375;0,695313;2,382813;0,539063;0,21875;0,773438;1,804688;2,84375
6,414063;0,546875;7,101563;0,703125;2,414063;0,710938;3,554688;0,210938;0,226563;0,796875;1,851563;2,921875
3,34375;0,546875;4,601563;0,78125;1,890625;0,648438;3,226563;0,414063;0,226563;0,820313;1,867188;2,96875
5,898438;0,484375;4,851563;0,570313;2,476563;0,734375;2,609375;0,359375;0,226563;0,835938;1,875;3
9,46875;0,398438;4,140625;0,46875;2,929688;0,703125;1,679688;0,523438;0,234375;0,835938;1,890625;2,992188
3,117188;0,609375;4,5;0,5;1,890625;0,710938;1,851563;0,273438;0,234375;0,851563;1,90625;3
4,164063;0,703125;4,21875;0,75;2,78125;0,609375;2,859375;0,304688;0,234375;0,851563;1,796875;2,789063
6,34375;0,640625;4,453125;0,664063;1,976563;0,585938;1,421875;0,398438;0,234375;0,851563;1,71875;2,671875
11,328125;0,710938;8,679688;0,648438;3,90625;0,976563;2,65625;0,375;0,242188;0,882813;1,734375;2,6875
8,109375;0,507813;6,046875;0,539063;2,6875;0,703125;1,804688;0,335938;0,25;0,890625;1,742188;2,6875
4,773438;0,632813;5,867188;0,664063;4,179688;0,6875;5,265625;0,429688;0,25;0,898438;1,75;2,710938
5,367188;0,460938;6,023438;0,648438;2,3125;0,734375;1,921875;0,554688;0,257813;0,914063;1,765625;2,726563
3,78125;0,53125;5,773438;0,625;2,820313;0,734375;4,195313;0,375;0,25;0,914063;1,734375;2,6875
5,023438;0,367188;4,234375;0,554688;2,460938;0,640625;1,945313;0,421875;0,257813;0,921875;1,742188;2,710938
9,414063;0,34375;3,867188;0,5;3,257813;0,765625;2,046875;0,695313;0,257813;0,914063;1,75;2,6875
6,804688;0,539063;4,78125;0,742188;4,359375;0,742188;2,6875;0,40625;0,265625;0,929688;1,78125;2,710938
8,757813;0,492188;6,078125;0,773438;5,296875;0,90625;2,984375;0,304688;0,28125;1;1,84375;2,804688
7,78125;0,515625;5,648438;0,632813;3,820313;0,648438;2,296875;0,414063;0,289063;1,03125;1,898438;2,882813
14,671875;0,46875;8,164063;0,632813;3,65625;0,75;3,414063;0,304688;0,296875;1,054688;1,929688;2,898438
16,757813;0,578125;5,804688;0,648438;2,882813;0,640625;2,039063;0,179688;0,3125;1,070313;1,929688;2,9375
15,65625;0,59375;3,765625;0,492188;2,351563;0,664063;1,742188;0,210938;0,335938;1,101563;1,976563;3,023438
4,75;0,460938;8,046875;0,75;2,210938;0,679688;1,851563;0,320313;0,34375;1,15625;2,046875;3,078125
11,859375;0,445313;9,359375;0,773438;2,210938;0,679688;3,617188;0,234375;0,359375;1,195313;2,0625;3,148438
7,320313;0,453125;6,742188;0,648438;3,671875;0,6875;2,859375;0,242188;0,367188;1,25;2,085938;3,226563
6,5;0,4375;7,617188;0,625;2,351563;0,632813;2,867188;0,28125;0,375;1,289063;2,140625;3,265625
2,921875;0,304688;3,578125;0,4375;2,601563;0,695313;2,757813;0,328125;0,382813;1,328125;2,1875;3,351563
7,234375;0,65625;7,210938;0,664063;1,554688;0,617188;2,851563;0,609375;0,398438;1,398438;2,25;3,398438
5,382813;0,632813;12,59375;1,085938;3,179688;0,664063;2,9375;0,585938;0,421875;1,507813;2,351563;3,585938
5,890625;0,679688;5,367188;0,875;2,59375;0,632813;2,234375;0,632813;0,445313;1,546875;2,40625;3,625
5,914063;0,460938;6,835938;0,882813;1,953125;0,625;3,054688;0,421875;0,460938;1,601563;2,421875;3,710938
2,40625;0,59375;3,953125;0,554688;3,460938;0,601563;2,515625;0,375;0,46875;1,617188;2,390625;3,703125
7,648438;0,476563;7,28125;0,71875;2,796875;0,664063;2,78125;0,421875;0,492188;1,6875;2,375;3,726563
6,695313;0,585938;4,984375;0,773438;4,359375;0,679688;3,09375;0,601563;0,515625;1,75;2,453125;3,804688
6,757813;0,640625;2,0625;0,578125;1,726563;0,617188;2,25;0,414063;0,53125;1,789063;2,476563;3,828125
3,703125;0,46875;3,109375;0,46875;1,929688;0,632813;2,945313;0,421875;0,539063;1,828125;2,539063;3,90625
6,03125;0,851563;9,242188;0,726563;3,023438;0,757813;2,148438;0,726563;0,554688;1,90625;2,5625;3,945313
10,179688;0,71875;9,039063;0,5625;4,882813;0,59375;4,1875;0,429688;0,59375;1,976563;2,640625;4,039063
5,59375;0,421875;5,953125;0,601563;3,273438;0,71875;3,765625;0,5;0,625;2,070313;2,71875;4,1875
8,0625;0,65625;3,109375;0,664063;3,304688;0,796875;2,445313;0,578125;0,664063;2,15625;2,773438;4,203125
3,921875;0,429688;3,632813;0,414063;2;0,601563;2,101563;0,328125;0,695313;2,25;2,828125;4,226563
4,085938;0,445313;3,632813;0,570313;2,375;0,71875;3,632813;0,609375;0,796875;2,570313;3;4,53125
6,835938;0,546875;4,226563;0,5;3,140625;0,695313;3,078125;0,28125;0,875;2,742188;3,125;4,726563
6,601563;0,382813;3,171875;0,632813;2,390625;0,59375;4,085938;0,257813;0,929688;2,882813;3,171875;4,945313
6,5;0,507813;4,359375;0,585938;2,296875;0,601563;3,851563;0,484375;1,085938;3,234375;3,359375;5,257813
4,523438;0,617188;5,273438;0,515625;4,796875;1,023438;2,835938;0,492188;1,203125;3,53125;3,546875;5,5
7,71875;0,414063;3,75;0,484375;4,101563;0,578125;2,359375;0,28125;1,320313;3,828125;3,609375;5,65625
5,328125;0,328125;3,890625;0,539063;2,59375;0,664063;4,054688;0,585938;1,351563;3,859375;3,40625;5,304688
5,859375;0,390625;3,5625;0,507813;3,03125;0,640625;3,320313;0,429688;1,664063;4,429688;3,46875;5,648438
4,421875;0,398438;4,085938;0,554688;3,226563;0,640625;2,859375;0,320313;1,945313;5,03125;3,601563;5,8125
10,023438;0,5625;7,96875;0,765625;3,390625;0,679688;4,984375;0,476563;2,765625;5,96875;3,976563;6,367188
5,867188;0,546875;5,085938;0,773438;1,984375;0,640625;2,15625;0,429688;5,148438;6,945313;4,179688;6,867188
12,007813;0,820313;7,625;0,65625;4,289063;0,804688;4,78125;0,515625;8,273438;7,984375;4,34375;7,171875
6,476563;0,757813;8,601563;0,8125;3,140625;0,710938;4,289063;0,445313;12,179688;9;4,40625;7,296875
6,601563;0,601563;8,859375;0,609375;3,367188;0,648438;4,015625;0,492188;12,789063;9,023438;4,34375;7,234375
7,476563;0,484375;6,976563;0,742188;3,65625;0,648438;1,984375;0,46875;12,648438;8,960938;4,265625;7
6,875;0,429688;6,351563;0,539063;3,703125;0,703125;5,34375;0,304688;12,523438;8,867188;4,257813;6,976563
10,710938;0,632813;6,601563;0,601563;2,664063;0,695313;3,15625;0,25;12,65625;8,96875;4,304688;7,03125
11,007813;0,75;7,367188;0,617188;4,023438;0,882813;2,71875;0,546875;12,882813;9,023438;4,296875;7,09375
5,15625;0,507813;4,429688;0,640625;3,960938;0,710938;2,382813;0,351563;12,953125;9,046875;4,335938;7,109375
10,976563;0,382813;4,875;0,632813;3,609375;0,726563;2,984375;0,3125;13,15625;9;4,367188;7,125
9,773438;0,351563;7,078125;0,601563;3,960938;0,625;4,234375;0,328125;13,453125;9,070313;4,398438;7,148438
5,109375;0,648438;5,4375;0,929688;3,046875;0,796875;3,039063;0,242188;13,507813;9;4,421875;7,28125
4;0,578125;5,765625;0,570313;3,6875;0,851563;4,304688;0,398438;13,273438;9,03125;4,453125;7,203125
4,132813;0,601563;5,6875;0,8125;3,210938;0,703125;2,953125;0,515625;13,070313;8,960938;4,46875;7,257813
4,898438;0,585938;6,945313;0,601563;3,4375;0,664063;5,648438;0,484375;13,140625;9,046875;4,5;7,414063
9,15625;0,6875;9,09375;0,601563;3,515625;0,71875;3,976563;0,335938;13,289063;9,25;4,523438;7,46875
6,367188;0,546875;5,617188;0,546875;3,492188;0,578125;4,34375;0,40625;13,296875;9,304688;4,554688;7,578125
9,757813;0,726563;5,898438;0,679688;3,671875;0,796875;3,578125;0,382813;13,242188;9,21875;4,554688;7,617188
8,523438;0,953125;5,921875;0,765625;4,234375;0,679688;4,398438;0,320313;13,070313;9,09375;4,601563;7,710938
4,976563;0,523438;7,351563;0,484375;7,484375;0,703125;6,023438;0,453125;13,242188;9,25;4,679688;7,75
11,453125;0,703125;10,640625;0,882813;15,710938;1,015625;22,242188;0,726563;13,242188;9,273438;5;8,5625
9,84375;0,40625;10,71875;0,726563;8,101563;0,6875;13,429688;0,65625;13,421875;9,40625;5,132813;8,851563
3,648438;0,515625;6,976563;0,632813;2,226563;0,6875;2,921875;0,476563;13,398438;9,476563;5,070313;8,882813
9,789063;0,523438;8,125;0,585938;5,03125;0,757813;7,015625;0,484375;13,421875;9,601563;5,117188;9,085938
7,382813;0,546875;6,515625;0,632813;3,695313;0,757813;4,085938;0,492188;13,421875;9,65625;5,09375;9,140625
4,484375;0,328125;7,335938;0,84375;3,90625;0,570313;3,695313;0,453125;13,328125;9,671875;5,117188;9,179688
3,34375;0,46875;3,453125;0,710938;3,203125;0,742188;2,640625;0,476563;13,15625;9,632813;5,109375;9,179688
8,726563;0,429688;5,765625;0,59375;3,960938;0,757813;2,476563;0,46875;12,984375;9,546875;5,109375;8,960938
11,015625;0,570313;8,507813;1,039063;3,960938;0,734375;3,484375;0,398438;12,8125;9,507813;5,140625;9,03125
7,132813;0,289063;3,460938;0,453125;2,242188;0,71875;3,023438;0,296875;12,765625;9,46875;5,132813;9,070313
8,273438;0,585938;6,695313;0,632813;3,296875;0,640625;1,804688;0,289063;12,640625;9,445313;5,164063;9,085938
7,5;0,726563;4,867188;0,765625;2,117188;0,71875;1,375;0,3125;12,523438;9,34375;5,164063;9
4,5;0,5625;3,84375;0,8125;3,164063;0,765625;2,523438;0,4375;12,421875;9,257813;5,109375;8,820313
7,851563;0,664063;11,492188;1,03125;5,328125;0,671875;2,789063;0,4375;12,289063;9,242188;5,164063;8,820313
10,554688;0,335938;10,804688;0,929688;3,164063;0,632813;2,789063;0,359375;12,515625;9,320313;5,164063;8,820313
12,09375;0,453125;4,148438;0,664063;4,984375;0,664063;3,554688;0,4375;12,6875;9,25;5,25;8,851563
5,335938;0,6875;6,8125;0,601563;4,421875;0,734375;3,257813;0,304688;12,6875;9,210938;5,28125;9,015625
7,765625;0,5;5,429688;0,539063;4;0,5625;4,507813;0,367188;12,9375;9,304688;5,320313;9,101563
4,828125;0,570313;7,617188;0,773438;3,109375;0,757813;2,648438;0,40625;12,898438;9,351563;5,34375;9,085938
6,445313;0,578125;6,234375;0,492188;3,0625;0,734375;2,523438;0,265625;13,023438;9,390625;5,328125;9,257813
9,640625;0,515625;7,84375;0,640625;2,03125;0,609375;1,8125;0,34375;12,898438;9,398438;5,320313;9,21875
7,507813;0,53125;6,773438;0,648438;3,570313;0,648438;2,992188;0,539063;12,953125;9,5625;5,296875;9,21875
15,484375;0,6875;12,21875;0,585938;14;0,664063;14,414063;0,539063;13,398438;9,828125;5,59375;9,703125
6,09375;0,78125;8,414063;1,046875;2,601563;0,859375;3,570313;0,445313;13,265625;9,734375;5,554688;9,5625
2,570313;0,53125;2,546875;0,46875;2,601563;0,695313;2,65625;0,421875;13,179688;9,71875;5,546875;9,757813
4,046875;0,585938;3,65625;0,539063;2,679688;0,648438;2,609375;0,429688;13,179688;9,570313;5,5;9,703125
3,328125;0,382813;3,414063;0,671875;3,007813;0,679688;1,75;0,453125;13,125;9,5;5,554688;9,625
3,320313;0,476563;2,171875;0,484375;4,070313;0,617188;2,335938;0,359375;12,984375;9,460938;5,5625;9,789063
3,71875;0,742188;5,171875;0,640625;2,929688;0,78125;2,8125;0,40625;12,96875;9,5;5,585938;9,640625
4,875;0,609375;9,125;0,546875;2,476563;0,757813;2,484375;0,453125;12,796875;9,640625;5,53125;9,773438
6,101563;0,539063;6,867188;0,710938;2,304688;0,6875;2,5;0,359375;12,78125;9,570313;5,5;9,773438
8,765625;0,304688;4,429688;0,625;2,6875;0,578125;2,148438;0,359375;13,023438;9,617188;5,5625;9,515625
8,757813;0,78125;6,328125;0,5625;3,0625;0,632813;2,101563;0,289063;12,898438;9,664063;5,585938;9,601563
4,6875;0,210938;7,132813;0,671875;1,984375;0,640625;1,679688;0,25;13,109375;9,710938;5,515625;9,546875
6;0,539063;11,539063;0,804688;3,085938;0,664063;1,921875;0,265625;13,054688;9,796875;5,484375;9,523438
